# 26/11/2024 12:59:07 PM : Aggregated Curves - Spot Market Auction - denmark
Date,Week,Week Day,Hour,Price,Volume,Sale/Purchase
27/11/2024,48,3,1,-2.15,1666.7,Sell
27/11/2024,48,3,1,-2.02,1666.8,Sell
27/11/2024,48,3,1,-2.01,1743.7,Sell
27/11/2024,48,3,1,-1.35,1744.0,Sell
27/11/2024,48,3,1,-1.34,1746.9,Sell
27/11/2024,48,3,1,-1.00,1747.0,Sell
27/11/2024,48,3,1,-0.90,1747.1,Sell
27/11/2024,48,3,1,-0.28,1748.0,Sell
27/11/2024,48,3,1,-0.27,1757.8,Sell
27/11/2024,48,3,1,-0.10,1758.0,Sell
27/11/2024,48,3,1,-0.01,2042.2,Sell
27/11/2024,48,3,1,0.00,2243.1,Sell
27/11/2024,48,3,1,0.00,2243.1,Sell
27/11/2024,48,3,1,0.01,2302.3,Sell
27/11/2024,48,3,1,0.12,2302.3,Sell
27/11/2024,48,3,1,0.13,2305.5,Sell
27/11/2024,48,3,1,0.65,2305.6,Sell
27/11/2024,48,3,1,0.66,2309.0,Sell
27/11/2024,48,3,1,1.00,2309.1,Sell
27/11/2024,48,3,1,1.10,2449.5,Sell
27/11/2024,48,3,1,1.33,2449.6,Sell
27/11/2024,48,3,1,1.34,2454.4,Sell
27/11/2024,48,3,1,1.50,2454.4,Sell
27/11/2024,48,3,1,1.60,2559.4,Sell
27/11/2024,48,3,1,1.70,2559.4,Sell
27/11/2024,48,3,1,1.80,2757.0,Sell
27/11/2024,48,3,1,1.90,2757.0,Sell
27/11/2024,48,3,1,2.00,2757.0,Sell
27/11/2024,48,3,1,2.10,2757.0,Sell
27/11/2024,48,3,1,2.20,2818.6,Sell
27/11/2024,48,3,1,2.27,2902.4,Sell
27/11/2024,48,3,1,2.28,2919.7,Sell
27/11/2024,48,3,1,2.30,2943.7,Sell
27/11/2024,48,3,1,2.94,2943.8,Sell
27/11/2024,48,3,1,2.95,2945.9,Sell
27/11/2024,48,3,1,3.20,2945.9,Sell
27/11/2024,48,3,1,3.30,3458.6,Sell
27/11/2024,48,3,1,3.60,3458.6,Sell
27/11/2024,48,3,1,3.61,3463.9,Sell
27/11/2024,48,3,1,3.90,3464.0,Sell
27/11/2024,48,3,1,4.00,3464.0,Sell
27/11/2024,48,3,1,4.01,3464.0,Sell
27/11/2024,48,3,1,4.02,3465.0,Sell
27/11/2024,48,3,1,4.15,3465.0,Sell
27/11/2024,48,3,1,4.16,3477.3,Sell
27/11/2024,48,3,1,4.41,3477.4,Sell
27/11/2024,48,3,1,4.42,3490.1,Sell
27/11/2024,48,3,1,4.54,3490.1,Sell
27/11/2024,48,3,1,4.55,3492.9,Sell
27/11/2024,48,3,1,4.68,3492.9,Sell
27/11/2024,48,3,1,4.69,3497.8,Sell
27/11/2024,48,3,1,6.69,3498.2,Sell
27/11/2024,48,3,1,6.70,3508.7,Sell
27/11/2024,48,3,1,6.71,3515.7,Sell
27/11/2024,48,3,1,6.80,3515.8,Sell
27/11/2024,48,3,1,7.14,3515.8,Sell
27/11/2024,48,3,1,8.04,3516.6,Sell
27/11/2024,48,3,1,8.05,3517.9,Sell
27/11/2024,48,3,1,10.10,3519.8,Sell
27/11/2024,48,3,1,10.20,3519.9,Sell
27/11/2024,48,3,1,11.60,3521.1,Sell
27/11/2024,48,3,1,11.70,3609.2,Sell
27/11/2024,48,3,1,13.40,3610.8,Sell
27/11/2024,48,3,1,13.41,3610.8,Sell
27/11/2024,48,3,1,13.42,3626.0,Sell
27/11/2024,48,3,1,13.50,3626.1,Sell
27/11/2024,48,3,1,14.62,3627.1,Sell
27/11/2024,48,3,1,14.63,3647.6,Sell
27/11/2024,48,3,1,14.84,3647.8,Sell
27/11/2024,48,3,1,14.90,3647.8,Sell
27/11/2024,48,3,1,15.00,3647.9,Sell
27/11/2024,48,3,1,15.20,3648.1,Sell
27/11/2024,48,3,1,15.30,3677.7,Sell
27/11/2024,48,3,1,17.40,3679.6,Sell
27/11/2024,48,3,1,17.50,3679.7,Sell
27/11/2024,48,3,1,19.58,3681.5,Sell
27/11/2024,48,3,1,19.60,3691.5,Sell
27/11/2024,48,3,1,19.90,3691.8,Sell
27/11/2024,48,3,1,20.00,3691.9,Sell
27/11/2024,48,3,1,20.10,3692.1,Sell
27/11/2024,48,3,1,20.11,3692.1,Sell
27/11/2024,48,3,1,20.12,3696.1,Sell
27/11/2024,48,3,1,20.20,3696.3,Sell
27/11/2024,48,3,1,21.00,3697.8,Sell
27/11/2024,48,3,1,21.40,3712.1,Sell
27/11/2024,48,3,1,21.50,3715.6,Sell
27/11/2024,48,3,1,21.80,3726.3,Sell
27/11/2024,48,3,1,22.30,3727.3,Sell
27/11/2024,48,3,1,22.40,3727.5,Sell
27/11/2024,48,3,1,22.50,3768.7,Sell
27/11/2024,48,3,1,24.30,3772.1,Sell
27/11/2024,48,3,1,24.33,3772.1,Sell
27/11/2024,48,3,1,24.80,3773.0,Sell
27/11/2024,48,3,1,24.90,3773.2,Sell
27/11/2024,48,3,1,24.99,3773.4,Sell
27/11/2024,48,3,1,25.00,3793.4,Sell
27/11/2024,48,3,1,25.50,3794.4,Sell
27/11/2024,48,3,1,26.10,3795.5,Sell
27/11/2024,48,3,1,26.20,3795.7,Sell
27/11/2024,48,3,1,26.80,3796.8,Sell
27/11/2024,48,3,1,26.90,3797.0,Sell
27/11/2024,48,3,1,27.37,3801.7,Sell
27/11/2024,48,3,1,27.38,3822.3,Sell
27/11/2024,48,3,1,27.77,3826.1,Sell
27/11/2024,48,3,1,27.78,3826.2,Sell
27/11/2024,48,3,1,29.07,3839.0,Sell
27/11/2024,48,3,1,29.10,3839.3,Sell
27/11/2024,48,3,1,29.50,3843.3,Sell
27/11/2024,48,3,1,29.90,3847.2,Sell
27/11/2024,48,3,1,30.00,3847.4,Sell
27/11/2024,48,3,1,32.40,3852.0,Sell
27/11/2024,48,3,1,32.50,3852.2,Sell
27/11/2024,48,3,1,33.59,3854.2,Sell
27/11/2024,48,3,1,33.60,3878.2,Sell
27/11/2024,48,3,1,33.80,3878.6,Sell
27/11/2024,48,3,1,33.82,3878.7,Sell
27/11/2024,48,3,1,34.90,3880.7,Sell
27/11/2024,48,3,1,35.00,3880.9,Sell
27/11/2024,48,3,1,37.40,3885.5,Sell
27/11/2024,48,3,1,37.50,3885.7,Sell
27/11/2024,48,3,1,38.57,3887.7,Sell
27/11/2024,48,3,1,38.60,3887.7,Sell
27/11/2024,48,3,1,39.90,3897.1,Sell
27/11/2024,48,3,1,39.99,3897.8,Sell
27/11/2024,48,3,1,40.00,3897.8,Sell
27/11/2024,48,3,1,40.01,3900.8,Sell
27/11/2024,48,3,1,40.10,3901.4,Sell
27/11/2024,48,3,1,40.11,3901.4,Sell
27/11/2024,48,3,1,40.12,3901.5,Sell
27/11/2024,48,3,1,40.70,3905.1,Sell
27/11/2024,48,3,1,40.80,3949.8,Sell
27/11/2024,48,3,1,42.40,3959.8,Sell
27/11/2024,48,3,1,42.50,3960.4,Sell
27/11/2024,48,3,1,43.30,3965.4,Sell
27/11/2024,48,3,1,43.31,3965.4,Sell
27/11/2024,48,3,1,44.90,3966.8,Sell
27/11/2024,48,3,1,45.00,3966.9,Sell
27/11/2024,48,3,1,46.90,3968.6,Sell
27/11/2024,48,3,1,47.30,3998.0,Sell
27/11/2024,48,3,1,47.40,3998.1,Sell
27/11/2024,48,3,1,47.50,3998.2,Sell
27/11/2024,48,3,1,47.90,3998.5,Sell
27/11/2024,48,3,1,48.06,3998.7,Sell
27/11/2024,48,3,1,48.10,3998.7,Sell
27/11/2024,48,3,1,50.00,4000.4,Sell
27/11/2024,48,3,1,54.17,4000.4,Sell
27/11/2024,48,3,1,54.18,4003.2,Sell
27/11/2024,48,3,1,54.98,4003.2,Sell
27/11/2024,48,3,1,54.99,4009.7,Sell
27/11/2024,48,3,1,56.40,4009.7,Sell
27/11/2024,48,3,1,56.50,4029.7,Sell
27/11/2024,48,3,1,57.65,4029.7,Sell
27/11/2024,48,3,1,57.66,4032.7,Sell
27/11/2024,48,3,1,63.60,4032.7,Sell
27/11/2024,48,3,1,63.70,4052.7,Sell
27/11/2024,48,3,1,64.60,4052.7,Sell
27/11/2024,48,3,1,64.89,4062.9,Sell
27/11/2024,48,3,1,64.90,4065.2,Sell
27/11/2024,48,3,1,64.99,4068.4,Sell
27/11/2024,48,3,1,65.00,4068.7,Sell
27/11/2024,48,3,1,65.20,4075.7,Sell
27/11/2024,48,3,1,67.11,4075.7,Sell
27/11/2024,48,3,1,67.12,4082.7,Sell
27/11/2024,48,3,1,71.79,4082.7,Sell
27/11/2024,48,3,1,71.80,4119.7,Sell
27/11/2024,48,3,1,74.00,4119.7,Sell
27/11/2024,48,3,1,74.20,4120.1,Sell
27/11/2024,48,3,1,74.50,4120.1,Sell
27/11/2024,48,3,1,75.00,4167.1,Sell
27/11/2024,48,3,1,77.00,4167.1,Sell
27/11/2024,48,3,1,78.50,4189.6,Sell
27/11/2024,48,3,1,78.89,4196.2,Sell
27/11/2024,48,3,1,78.90,4196.4,Sell
27/11/2024,48,3,1,79.00,4198.1,Sell
27/11/2024,48,3,1,89.00,4198.1,Sell
27/11/2024,48,3,1,89.10,4231.7,Sell
27/11/2024,48,3,1,90.77,4231.7,Sell
27/11/2024,48,3,1,90.80,4241.7,Sell
27/11/2024,48,3,1,91.40,4241.7,Sell
27/11/2024,48,3,1,91.50,4251.7,Sell
27/11/2024,48,3,1,91.83,4251.7,Sell
27/11/2024,48,3,1,91.84,4276.7,Sell
27/11/2024,48,3,1,92.60,4276.7,Sell
27/11/2024,48,3,1,92.70,4301.3,Sell
27/11/2024,48,3,1,97.94,4301.3,Sell
27/11/2024,48,3,1,97.95,4326.3,Sell
27/11/2024,48,3,1,98.60,4326.3,Sell
27/11/2024,48,3,1,98.70,4336.3,Sell
27/11/2024,48,3,1,99.90,4336.3,Sell
27/11/2024,48,3,1,100.00,4386.3,Sell
27/11/2024,48,3,1,100.10,4386.3,Sell
27/11/2024,48,3,1,100.60,4386.4,Sell
27/11/2024,48,3,1,101.20,4592.5,Sell
27/11/2024,48,3,1,101.90,4592.7,Sell
27/11/2024,48,3,1,102.00,4847.5,Sell
27/11/2024,48,3,1,105.50,4848.2,Sell
27/11/2024,48,3,1,105.60,4848.2,Sell
27/11/2024,48,3,1,106.83,4848.5,Sell
27/11/2024,48,3,1,106.84,4873.5,Sell
27/11/2024,48,3,1,107.00,4873.5,Sell
27/11/2024,48,3,1,108.02,4896.6,Sell
27/11/2024,48,3,1,108.72,4914.2,Sell
27/11/2024,48,3,1,108.73,4924.5,Sell
27/11/2024,48,3,1,109.00,4931.2,Sell
27/11/2024,48,3,1,111.21,4936.9,Sell
27/11/2024,48,3,1,115.00,4938.3,Sell
27/11/2024,48,3,1,117.83,4943.4,Sell
27/11/2024,48,3,1,117.84,4968.4,Sell
27/11/2024,48,3,1,118.78,4970.1,Sell
27/11/2024,48,3,1,119.90,4970.7,Sell
27/11/2024,48,3,1,120.00,4970.8,Sell
27/11/2024,48,3,1,121.40,4971.5,Sell
27/11/2024,48,3,1,121.50,4992.6,Sell
27/11/2024,48,3,1,121.83,4992.8,Sell
27/11/2024,48,3,1,121.84,5017.8,Sell
27/11/2024,48,3,1,122.57,5018.2,Sell
27/11/2024,48,3,1,126.35,5020.1,Sell
27/11/2024,48,3,1,127.00,5020.9,Sell
27/11/2024,48,3,1,127.07,5022.7,Sell
27/11/2024,48,3,1,127.08,5034.9,Sell
27/11/2024,48,3,1,129.00,5085.3,Sell
27/11/2024,48,3,1,129.33,5085.7,Sell
27/11/2024,48,3,1,129.34,5108.2,Sell
27/11/2024,48,3,1,129.90,5108.8,Sell
27/11/2024,48,3,1,130.00,5109.0,Sell
27/11/2024,48,3,1,130.14,5109.1,Sell
27/11/2024,48,3,1,130.80,5109.4,Sell
27/11/2024,48,3,1,130.90,5154.7,Sell
27/11/2024,48,3,1,131.00,5154.7,Sell
27/11/2024,48,3,1,131.01,5252.9,Sell
27/11/2024,48,3,1,133.92,5254.0,Sell
27/11/2024,48,3,1,134.08,5254.0,Sell
27/11/2024,48,3,1,134.09,5254.8,Sell
27/11/2024,48,3,1,135.80,5255.2,Sell
27/11/2024,48,3,1,135.90,5279.3,Sell
27/11/2024,48,3,1,138.11,5279.7,Sell
27/11/2024,48,3,1,138.21,5402.0,Sell
27/11/2024,48,3,1,139.90,5402.4,Sell
27/11/2024,48,3,1,140.00,5402.4,Sell
27/11/2024,48,3,1,141.00,5402.6,Sell
27/11/2024,48,3,1,141.10,5450.8,Sell
27/11/2024,48,3,1,141.83,5451.0,Sell
27/11/2024,48,3,1,141.84,5476.0,Sell
27/11/2024,48,3,1,142.07,5476.0,Sell
27/11/2024,48,3,1,142.08,5498.5,Sell
27/11/2024,48,3,1,143.76,5498.9,Sell
27/11/2024,48,3,1,144.00,5499.1,Sell
27/11/2024,48,3,1,145.00,5525.0,Sell
27/11/2024,48,3,1,146.00,5563.5,Sell
27/11/2024,48,3,1,147.66,5585.8,Sell
27/11/2024,48,3,1,148.00,5590.7,Sell
27/11/2024,48,3,1,149.00,5615.2,Sell
27/11/2024,48,3,1,149.08,5616.2,Sell
27/11/2024,48,3,1,149.09,5655.3,Sell
27/11/2024,48,3,1,149.90,5665.1,Sell
27/11/2024,48,3,1,150.00,5666.3,Sell
27/11/2024,48,3,1,151.55,5692.7,Sell
27/11/2024,48,3,1,152.00,5699.5,Sell
27/11/2024,48,3,1,152.31,5699.6,Sell
27/11/2024,48,3,1,152.31,5701.6,Sell
27/11/2024,48,3,1,154.00,5701.9,Sell
27/11/2024,48,3,1,156.00,5752.3,Sell
27/11/2024,48,3,1,156.10,5802.9,Sell
27/11/2024,48,3,1,157.00,5825.6,Sell
27/11/2024,48,3,1,157.01,5840.9,Sell
