# 09/07/2024 12:58:13 PM : Aggregated Curves - Spot Market Auction - denmark
Date,Week,Week Day,Hour,Price,Volume,Sale/Purchase
10/07/2024,28,3,1,-500.00,0.0,Sell
10/07/2024,28,3,1,-500.00,532.1,Sell
10/07/2024,28,3,1,-265.50,532.1,Sell
10/07/2024,28,3,1,-265.40,536.1,Sell
10/07/2024,28,3,1,-150.00,536.1,Sell
10/07/2024,28,3,1,-125.10,552.2,Sell
10/07/2024,28,3,1,-116.10,552.2,Sell
10/07/2024,28,3,1,-115.96,607.2,Sell
10/07/2024,28,3,1,-100.00,607.2,Sell
10/07/2024,28,3,1,-99.00,617.4,Sell
10/07/2024,28,3,1,-85.10,633.4,Sell
10/07/2024,28,3,1,-70.00,633.4,Sell
10/07/2024,28,3,1,-67.10,639.1,Sell
10/07/2024,28,3,1,-67.00,639.1,Sell
10/07/2024,28,3,1,-60.10,653.5,Sell
10/07/2024,28,3,1,-40.00,653.5,Sell
10/07/2024,28,3,1,-36.20,655.4,Sell
10/07/2024,28,3,1,-35.20,656.9,Sell
10/07/2024,28,3,1,-33.50,657.7,Sell
10/07/2024,28,3,1,-33.40,657.7,Sell
10/07/2024,28,3,1,-30.10,665.7,Sell
10/07/2024,28,3,1,-29.99,665.7,Sell
10/07/2024,28,3,1,-29.99,775.7,Sell
10/07/2024,28,3,1,-25.47,775.7,Sell
10/07/2024,28,3,1,-25.46,805.7,Sell
10/07/2024,28,3,1,-25.00,805.7,Sell
10/07/2024,28,3,1,-24.00,831.5,Sell
10/07/2024,28,3,1,-16.20,831.5,Sell
10/07/2024,28,3,1,-16.10,846.0,Sell
10/07/2024,28,3,1,-15.47,846.0,Sell
10/07/2024,28,3,1,-15.46,876.0,Sell
10/07/2024,28,3,1,-13.76,876.0,Sell
10/07/2024,28,3,1,-13.60,878.8,Sell
10/07/2024,28,3,1,-13.50,899.1,Sell
10/07/2024,28,3,1,-13.40,910.4,Sell
10/07/2024,28,3,1,-13.20,914.0,Sell
10/07/2024,28,3,1,-12.20,914.0,Sell
10/07/2024,28,3,1,-12.10,926.8,Sell
10/07/2024,28,3,1,-8.57,929.6,Sell
10/07/2024,28,3,1,-8.20,935.1,Sell
10/07/2024,28,3,1,-7.50,946.8,Sell
10/07/2024,28,3,1,-7.10,956.0,Sell
10/07/2024,28,3,1,-7.00,1238.2,Sell
10/07/2024,28,3,1,-6.90,1240.5,Sell
10/07/2024,28,3,1,-6.80,1251.4,Sell
10/07/2024,28,3,1,-6.70,1276.5,Sell
10/07/2024,28,3,1,-6.60,1278.7,Sell
10/07/2024,28,3,1,-5.49,1303.1,Sell
10/07/2024,28,3,1,-5.36,1305.9,Sell
10/07/2024,28,3,1,-5.23,1333.9,Sell
10/07/2024,28,3,1,-5.00,1338.9,Sell
10/07/2024,28,3,1,-4.10,1340.7,Sell
10/07/2024,28,3,1,-4.00,1340.9,Sell
10/07/2024,28,3,1,-3.20,1342.5,Sell
10/07/2024,28,3,1,-2.80,1342.5,Sell
10/07/2024,28,3,1,-2.70,1343.7,Sell
10/07/2024,28,3,1,-2.00,1344.5,Sell
10/07/2024,28,3,1,-0.40,1378.2,Sell
10/07/2024,28,3,1,-0.30,1405.8,Sell
10/07/2024,28,3,1,-0.10,1410.0,Sell
10/07/2024,28,3,1,-0.01,1801.9,Sell
10/07/2024,28,3,1,0.00,1873.7,Sell
10/07/2024,28,3,1,0.00,1876.7,Sell
10/07/2024,28,3,1,0.01,2013.4,Sell
10/07/2024,28,3,1,0.10,2241.6,Sell
10/07/2024,28,3,1,0.13,2327.9,Sell
10/07/2024,28,3,1,1.00,2327.9,Sell
10/07/2024,28,3,1,1.10,2380.9,Sell
10/07/2024,28,3,1,1.40,2380.9,Sell
10/07/2024,28,3,1,1.47,2667.0,Sell
10/07/2024,28,3,1,1.50,2789.0,Sell
10/07/2024,28,3,1,1.61,2895.8,Sell
10/07/2024,28,3,1,1.90,2895.8,Sell
10/07/2024,28,3,1,2.00,3042.0,Sell
10/07/2024,28,3,1,2.90,3042.0,Sell
10/07/2024,28,3,1,3.00,3625.6,Sell
10/07/2024,28,3,1,4.00,3625.6,Sell
10/07/2024,28,3,1,4.53,3626.2,Sell
10/07/2024,28,3,1,4.54,3656.3,Sell
10/07/2024,28,3,1,6.70,3658.9,Sell
10/07/2024,28,3,1,6.80,3658.9,Sell
10/07/2024,28,3,1,9.90,3667.4,Sell
10/07/2024,28,3,1,10.00,3717.7,Sell
10/07/2024,28,3,1,10.10,3718.0,Sell
10/07/2024,28,3,1,15.00,3718.0,Sell
10/07/2024,28,3,1,16.89,3733.4,Sell
10/07/2024,28,3,1,17.03,3762.0,Sell
10/07/2024,28,3,1,17.40,3765.0,Sell
10/07/2024,28,3,1,20.01,3765.0,Sell
10/07/2024,28,3,1,20.01,3770.0,Sell
10/07/2024,28,3,1,25.00,3770.0,Sell
10/07/2024,28,3,1,25.10,3770.3,Sell
10/07/2024,28,3,1,26.80,3776.0,Sell
10/07/2024,28,3,1,27.00,3776.0,Sell
10/07/2024,28,3,1,28.00,3801.0,Sell
10/07/2024,28,3,1,29.00,3876.0,Sell
10/07/2024,28,3,1,30.00,3926.0,Sell
10/07/2024,28,3,1,35.00,3926.0,Sell
10/07/2024,28,3,1,35.10,3958.5,Sell
10/07/2024,28,3,1,37.00,4006.0,Sell
10/07/2024,28,3,1,37.30,4006.0,Sell
10/07/2024,28,3,1,37.40,4012.7,Sell
10/07/2024,28,3,1,37.50,4019.3,Sell
10/07/2024,28,3,1,37.60,4026.0,Sell
10/07/2024,28,3,1,40.00,4026.0,Sell
10/07/2024,28,3,1,40.10,4026.3,Sell
10/07/2024,28,3,1,40.91,4026.3,Sell
10/07/2024,28,3,1,41.01,4026.7,Sell
10/07/2024,28,3,1,41.20,4028.3,Sell
10/07/2024,28,3,1,41.39,4029.1,Sell
