Cluster,Medoid Date,Count,Proportion,Max Distance,Avg Distance,Standard Deviation
Offshore Wind - Winter 0,2021-10-25,729,1.0,2.3681873413698336,1.3426630641150705,0.4458435967876931
Offshore Wind - Summer 0,2023-07-09,732,1.0,3.011296139550222,1.2349989015317215,0.5626468051679575
Onshore Wind - Winter 0,2024-10-23,729,1.0,2.8391084431801445,0.9551763674567649,0.4974844515293514
Onshore Wind - Summer 0,2022-06-05,732,1.0,2.9415748664033714,0.7529373774134903,0.4846991801471551
Solar - Winter 0,2024-02-29,729,1.0,1.918759869175933,0.4747386200810268,0.4194581521778184
Solar - Summer 0,2021-05-17,732,1.0,1.3135011360661168,0.5678406958521801,0.31938688034129464
