Cluster,Medoid Date,Count,Proportion,Max Distance,Avg Distance,Standard Deviation
Offshore Wind - Winter 0,2021-12-09,481,1.0,2.6155709956564754,1.4003043533163535,0.4951809445769057
Offshore Wind - Summer 0,2023-07-09,492,1.0,3.011296139550222,1.2170361350316545,0.5596840256888002
Onshore Wind - Winter 0,2024-12-25,481,1.0,2.9596875102532816,0.9984225040937479,0.5674091109449653
Onshore Wind - Summer 0,2021-08-30,492,1.0,2.7675942048515427,0.7355935705889268,0.535958627313896
Solar - Winter 0,2023-12-02,481,1.0,2.0596223546983774,0.4167640039844292,0.4833799145309462
Solar - Summer 0,2022-06-14,492,1.0,1.276228289556701,0.5451224824188268,0.3058875671161132
