Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2021-05-27,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-05-28,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-29,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-05-30,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-05-31,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-06-01,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-03,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-06-05,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-06-06,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-07,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-06-08,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-06-09,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-10,Summer,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-06-11,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-12,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-13,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-06-14,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-06-15,Summer,Offshore Wind,2,Onshore Wind,2,Solar,1
2021-06-16,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-06-17,Summer,Offshore Wind,0,Onshore Wind,2,Solar,1
2021-06-18,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
2021-06-19,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2021-06-20,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-06-21,Summer,Offshore Wind,1,Onshore Wind,0,Solar,2
2021-06-22,Summer,Offshore Wind,1,Onshore Wind,0,Solar,2
2021-06-23,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-24,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-06-25,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-26,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-27,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-28,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-06-29,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-30,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-01,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2021-07-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-07-03,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-07-04,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-07-05,Summer,Offshore Wind,1,Onshore Wind,0,Solar,2
2021-07-06,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-07,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2021-07-08,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-09,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-10,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-11,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2021-07-12,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-07-13,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-07-14,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-07-15,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
2021-07-16,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
