RES,Season,Cluster,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Offshore Wind,Winter,0,2021-12-09,0.40873537976720364,0.4021006530178259,0.43544655125110754,0.4567233958810187,0.5022195183456717,0.5591800435638533,0.5781741440066906,0.5369459656762032,0.5506187822906755,0.5012060537382,0.48734898703706236,0.4262530931530825,0.5158734340233027,0.5364298930705977,0.5236541483676033,0.572199344824688,0.5783713482050784,0.614479716510028,0.6049754456085291,0.6422846683543179,0.6428640680764817,0.6317078866101198,0.6494028761930071,0.6165755683481196
Offshore Wind,Summer,0,2023-07-09,0.3923266536407451,0.390238815943728,0.36711398680039947,0.3558408518952716,0.3299101072467544,0.3109295879466806,0.27585332985975425,0.24732830141982545,0.22617634145282448,0.20395489297034433,0.1946758486387912,0.21312619469410793,0.24000268420824108,0.21622140072076768,0.21716448525899876,0.2532070800225783,0.3042265537753463,0.33417961790630024,0.3688149450740307,0.37186353306413095,0.38474769831965616,0.35902486474751427,0.360596911119795,0.35842013764057146
Onshore Wind,Winter,0,2024-12-25,0.2724587504532776,0.26368162193059336,0.2521165598580447,0.2329465882157904,0.21726379367688295,0.2084230563466988,0.21407193471733063,0.19974714751355,0.20172421531811913,0.19851110604669742,0.190003789328709,0.1909051351440852,0.19869021523049746,0.20942830027740694,0.20395167870573333,0.21772572668908766,0.2411194034486326,0.23563528261382438,0.234386550608405,0.2528644766322673,0.2670138479262152,0.24625214143453952,0.24175716908781525,0.22440071199806
Onshore Wind,Summer,0,2021-08-30,0.10965319889283619,0.12200909768099759,0.13225093767415774,0.14980734536692653,0.1556665855604605,0.13902172930137413,0.09615131800143792,0.09587832400316923,0.12328733483244089,0.1484490564047785,0.16656838573764576,0.16738361642572486,0.17067251242491494,0.17631473622794996,0.1677555336508776,0.15188968678848624,0.12497481994378278,0.10017644009331914,0.11581037064730305,0.12066520472014186,0.106858800881813,0.10374776068572396,0.0964215865853999,0.08014106399803776
Solar,Winter,0,2023-12-02,4.3527940369140946e-05,4.361571290159584e-05,3.900466627725444e-05,3.9080484127869594e-05,4.389255816525281e-05,5.4328680814449574e-05,0.00022193426399818369,0.014340647576809902,0.04811252310305185,0.0909426441546501,0.11720689045461943,0.13367911002653762,0.12134389807996988,0.0862216327040028,0.04619456522797817,0.013927846120946094,0.0005806423575216481,0.00013712114449241391,0.00010199734545660555,7.56835177428997e-05,6.193500443342522e-05,5.509126367706836e-05,5.1016919347952896e-05,4.398347666661289e-05
Solar,Summer,0,2022-06-14,6.748890429699628e-05,5.407098222564073e-05,0.001958735124520794,0.014660155401459776,0.04754518191092227,0.10626793680781378,0.1887313274519594,0.2890207868025249,0.37164043822858134,0.43077137893465073,0.4880247390607172,0.5110998085422801,0.4801797716075386,0.4439899498252258,0.40490531540197156,0.3014469670971365,0.2074746990642833,0.11539733888968493,0.04074339412869113,0.01115164443120263,0.00016032950920836443,8.585512632598373e-05,0.00011941140795710122,6.469687823128188e-05
