RES,Season,Cluster,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Offshore Wind,Winter,0,2021-10-25,0.45877876064418,0.41882514598420145,0.37791651007203486,0.3922778541844736,0.4078217724636443,0.4291479161913828,0.4581301234133718,0.4782476706808434,0.4647704343924487,0.47517298296531363,0.46546009695287127,0.41610375285561085,0.4095455480527648,0.44478745339833997,0.4225049091678935,0.48476720615684976,0.480394208240634,0.5329808433670278,0.4641654816689081,0.5096402539427307,0.5452125656899668,0.4530185294704119,0.4383284735260547,0.406945059677765
Offshore Wind,Summer,0,2023-07-09,0.3923266536407451,0.390238815943728,0.36711398680039947,0.3558408518952716,0.3299101072467544,0.3109295879466806,0.27585332985975425,0.24732830141982545,0.22617634145282448,0.20395489297034433,0.1946758486387912,0.21312619469410793,0.24000268420824108,0.21622140072076768,0.21716448525899876,0.2532070800225783,0.3042265537753463,0.33417961790630024,0.3688149450740307,0.37186353306413095,0.38474769831965616,0.35902486474751427,0.360596911119795,0.35842013764057146
Onshore Wind,Winter,0,2024-10-23,0.25142557970043866,0.23035049387074336,0.2265861813831663,0.24552525147890458,0.24900270027390425,0.2480864737897639,0.24021132679160326,0.24369854428488177,0.21271625647350872,0.23650452784077983,0.2706407064444938,0.2937844714148192,0.3239620915512647,0.313814405399235,0.25302357529475017,0.20674378043679867,0.2190438388360679,0.2457571234493271,0.27159811743894074,0.2744244837141525,0.25002286617541813,0.22869329040190475,0.23037930438203752,0.22877186480333275
Onshore Wind,Summer,0,2022-06-05,0.14827761913842785,0.13223767183316115,0.11840193859053268,0.10846873644642212,0.10788233251280734,0.12265771482590308,0.14773336257648903,0.16472670518780402,0.1538194314203384,0.13305869547101606,0.13396169392435908,0.15513874925596907,0.17609148464172314,0.19834001292472864,0.19570993414880622,0.19730988136366892,0.20075743207078253,0.18045649118528703,0.1585995068976459,0.16419988701550328,0.1789185063053031,0.18696510301305957,0.19029495710733108,0.2146868116891642
Solar,Winter,0,2024-02-29,0.00010030369669411222,9.846904801045113e-05,9.100746792916462e-05,0.00010801856467466165,0.0001322832639930504,0.0001604536627180734,0.010760184697986432,0.052085776318574306,0.10576320507175584,0.1617077994582588,0.17169778715645956,0.17722387028840744,0.16307309834737974,0.1344858077217709,0.09135156854610527,0.04319671376174283,0.007009857435949034,0.0003116949631089552,0.00023648675004281407,0.00017800595127499556,0.00015048650245107827,0.00014149844063023384,8.543400842138362e-05,8.237063199529815e-05
Solar,Summer,0,2021-05-17,0.00010077459422712475,0.00011256799579896151,8.5105816062459e-05,0.007253378649679946,0.041862356038012145,0.1053072150023555,0.18981647915819358,0.2962857142857143,0.3668581191026979,0.44651206632844703,0.5032438685821015,0.538230311795363,0.5225319346648217,0.4558378233350814,0.398010639522254,0.31215433043358554,0.19399087702599635,0.08797311957083684,0.026659866500825812,0.0030348291699803386,0.00016035961955288843,0.00014140905761958177,0.00010854237064838914,9.430354427466029e-05
