,curtailement-average,unmet_demand-average,curtailement-total,unmet_demand-total
0,679.4921457318807,254.68062203173614,16307.811497565137,6112.3349287616675
1,626.6921457318808,215.08062203173623,15040.61149756514,5161.93492876167
2,582.6921457318807,179.88062203173612,13984.611497565136,4317.134928761667
3,580.5588123985473,174.21395536506952,13933.411497565136,4181.134928761669
4,577.9421457318807,172.91395536506948,13870.611497565136,4149.934928761668
5,577.9046457318807,172.22228869840282,13869.711497565137,4133.3349287616675
