,curtailement-average,unmet_demand-average,curtailement-total,unmet_demand-total
0,2108.438054478494,332.2714746614515,50602.51330748385,7974.5153918748365
1,1909.4311794784937,171.3562663281182,45826.348307483844,4112.550391874837
2,1890.4311794784935,152.34793299478488,45370.34830748385,3656.3503918748374
3,1890.4311794784935,152.34793299478488,45370.348307483844,3656.3503918748374
4,1890.5228461451607,152.42293299478487,45372.54830748385,3658.1503918748367
5,1890.5228461451604,152.42293299478493,45372.548307483856,3658.1503918748385
