,consumer_surplus,producer_surplus
0,805890.8953730452,3307.5701903362765
1,556431.9923714712,2683.076417146745
2,556859.8269356135,2279.8193484248063
3,556859.8269356135,2283.0836336852494
4,556859.8269356135,2283.7737974135625
5,556859.8269356135,2284.1664779486737
