,market_price,RES,residual_demand,unmet_demand,curtailed_prod,storage_proad,P1_soc,P2_soc
0,0.0,8049.568422420501,0.0,0.0,590.0884224205001,-576.0,2083.2,4166.4
1,0.0,8123.029417902789,0.0,0.0,1078.5044179027882,-576.0,2246.4,4492.8
2,0.0,7821.815022968857,0.0,0.0,1352.7950229688577,-384.0,2246.4,4819.2
3,0.0,7929.323307234744,0.0,0.0,1603.3083072347436,-384.0,2246.4,5145.599999999999
4,0.0,7909.92338341679,0.0,0.0,1563.4983834167897,0.0,2246.4,5145.599999999999
5,0.0,8123.143388446382,0.0,0.0,1388.9583884463818,0.0,2246.4,5145.599999999999
6,0.0,8095.497728912029,0.0,0.0,223.25272891202894,-384.0,2246.4,5472.0
7,0.0,8783.063783215679,0.0,0.0,261.0687832156782,-192.0,2409.6,5472.0
8,0.0,9640.445418385782,0.0,0.0,245.9904183857816,-192.0,2572.7999999999997,5472.0
9,0.0,10176.486128325012,0.0,0.0,676.6411283250127,-576.0,2736.0,5798.4
10,0.0,10859.577615865659,0.0,0.0,1448.902615865658,-576.0,2899.2,6124.8
11,0.0,11475.921754832827,0.0,0.0,2424.456754832827,-192.0,3062.4,6124.8
12,0.0,11618.258186863035,0.0,0.0,2746.2731868630344,-384.0,3062.4,6451.2
13,0.0,10806.697236928074,0.0,0.0,1809.497236928073,-576.0,3225.6,6777.599999999999
14,0.0,10277.624322343534,0.0,0.0,1421.579322343534,-576.0,3388.7999999999997,7104.0
15,0.0,9542.098226668422,0.0,0.0,942.8332266684229,-576.0,3552.0,7430.4
16,0.0,9090.547736221677,0.0,0.0,1113.7477362216769,-192.0,3715.2,7430.4
17,1.8769839381320568,8301.589149829493,573.7858501705068,573.7858501705068,0.0,0.0,3715.2,7430.4
18,14.63868541905859,8169.883076702572,1281.3969232974287,705.3969232974287,0.0,576.0,3523.2,7046.4
19,26.054964234620883,7913.350170810064,1767.699829189938,615.6998291899381,0.0,1152.0,3523.2,5894.4
20,26.483646788990825,7889.111731800626,1365.698268199376,789.6982681993759,0.0,576.0,3331.2,5510.4
21,22.39127635327634,7397.207673142683,1675.1923268573173,523.1923268573173,0.0,1152.0,2947.2,4742.4
22,28.767459459459445,7359.971616320395,1488.7633836796058,720.7633836796058,0.0,768.0,2563.2,4358.4
23,22.10667368421054,7173.608416051399,1641.0865839486005,681.0865839486005,0.0,960.0,1987.1999999999998,3974.3999999999996
