,market_price,RES,residual_demand,unmet_demand,storage_proad
0,0.0,8049.568422420501,0.0,0.0,-152.3
1,0.0,8123.029417902789,0.0,0.0,-457.0
2,0.0,7821.815022968857,0.0,0.0,-152.3
3,0.0,7929.323307234744,0.0,0.0,-457.0
4,0.0,7909.92338341679,0.0,0.0,-457.0
5,0.0,8123.143388446382,0.0,0.0,-304.7
6,0.0,8095.497728912029,0.0,0.0,-304.7
7,0.0,8783.063783215679,0.0,0.0,-304.7
8,0.0,9640.445418385782,0.0,0.0,0.0
9,0.0,10176.486128325012,0.0,0.0,-152.3
10,0.0,10859.577615865659,0.0,0.0,-152.3
11,0.0,11475.921754832827,0.0,0.0,-304.7
12,0.0,11618.258186863035,0.0,0.0,-152.3
13,0.0,10806.697236928074,0.0,0.0,-152.3
14,0.0,10277.624322343534,0.0,0.0,-152.3
15,0.0,9542.098226668422,0.0,0.0,-304.7
16,0.0,9090.547736221677,0.0,0.0,-457.0
17,0.0,8301.589149829493,0.0,0.0,-304.7
18,0.0,8169.883076702572,0.0,0.0,0.0
19,19.051499571551005,7913.350170810064,1347.9348291899373,738.5348291899372,609.4
20,22.523314936184875,7889.111731800626,1532.9382681993743,619.0382681993742,913.9000000000001
21,49.40464571428572,7397.207673142683,2237.222326857317,1170.9223268573169,1066.3
22,32.755276595744675,7359.971616320395,1803.6333836796068,1041.9333836796068,761.7
23,11.91973128598849,7173.608416051399,847.6215839486013,390.62158394860126,457.0
