,market_price,RES,residual_demand,unmet_demand,storage_proad
0,3.7787210473313166,9809.887925173593,60.41707482640777,60.41707482640777,0.0
1,15.781896480331255,9611.469740251025,484.72025974897554,379.1202597489755,105.6
2,4.89844562334217,10107.555017237664,80.20998276233513,80.20998276233513,0.0
3,2.9231404523934827,10318.009385609985,101.56061439001678,101.56061439001678,0.0
4,0.0,10995.85218401202,0.0,0.0,0.0
5,0.0,11941.700235439423,0.0,0.0,-211.2
6,0.0,12336.445215744385,0.0,0.0,-211.2
7,32.07042500000006,11634.839480715327,295.8105192846742,295.8105192846742,0.0
8,6.953797468354395,12304.00629633185,88.77370366815012,88.77370366815012,0.0
9,5.365282436010602,11899.620651563679,368.8393484363223,368.8393484363223,0.0
10,4.658993783993793,11888.798556080936,273.6564439190661,273.6564439190661,0.0
11,23.57021423106352,10994.851213370703,1211.4487866292977,472.2487866292977,739.2
12,2.37851193058566,12530.060526453562,221.0644735464375,221.0644735464375,0.0
13,8.347218623481837,12575.252370215456,249.6876297845447,249.6876297845447,0.0
14,28.540541896638278,11815.674561704196,1019.6254382958047,386.02543829580463,633.6
15,8.458338213762772,12426.253900497524,220.34609950247795,220.34609950247795,0.0
16,28.492771028037367,12587.726607019365,624.7883929806346,307.98839298063467,316.79999999999995
17,7.701324449279298,13182.997894438831,327.182105561169,327.182105561169,0.0
18,6.986306306306346,13000.260944574648,484.20405542535264,484.20405542535264,0.0
19,0.0,13837.812522281041,0.0,0.0,-211.2
20,0.0,13975.421076765808,0.0,0.0,-739.2
21,0.0,13587.672327057136,0.0,0.0,-316.79999999999995
22,0.0,13865.67849629664,0.0,0.0,-316.79999999999995
23,0.0,13118.49443996869,0.0,0.0,-316.79999999999995
