,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
1,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.0399999999995,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04,2155.04
2,999.1,999.1,999.1,999.0999999999999,536.08,999.1000000000001,536.08,536.0800000000002,1015.262187500003,1018.9999999999999,1018.0614285714294,899.0,999.1,999.1,799.0,1039.0094736842107,1039.0,536.08,536.08,999.1,999.1,999.1,536.08,999.0999999999999
3,536.0799999999999,536.08,525.3749450549457,536.08,500.0,536.08,500.0,500.0,536.08,918.9999999999999,899.0995024875622,799.0,799.0,799.0,536.08,999.1,939.0,500.0,500.00000000000006,527.0599999999997,526.2400000000001,536.08,500.0,536.08
4,500.0,500.0,399.88757396449705,500.0,399.88235294117646,500.0,399.8080808080808,399.8875739644971,500.0,536.08,799.0,536.08,536.0799999999999,536.0799999999999,500.0,939.0,818.9999999999545,400.0,360.00000000000006,389.78207070707066,399.1426944971537,500.0,393.1283442469598,500.0
5,397.4727272727274,399.88757396449705,371.1592857142857,399.88757396449705,369.89756097560974,398.99999999999994,362.2747572815534,354.1273391812866,399.86956521739125,500.0,536.08,500.0,500.0,500.0,299.0,536.08,536.0799999999999,320.0,299.06305418719217,299.07222222222225,299.0665924276169,399.29095074455904,299.32557046979866,399.84033613445376
6,299.0,373.1,299.3912096774194,361.75428571428574,299.0,362.6141216216217,299.04999999999995,299.68278125,340.41543026706233,320.0,500.0,299.94181571815716,299.17719298245606,299.0,275.0,500.0,500.0,299.0,247.7,244.89,251.19,299.0407114624506,200.0,380.0723935389134
7,257.0,299.0,256.9,299.0,252.80000000000007,299.0,243.5,237.3,299.0319727891157,299.0,299.9518607305936,198.79356568364614,295.0,290.0,194.5,299.0,299.93273542600895,213.2,194.1884816753927,199.98861712598426,200.06112204724408,199.95012738853507,173.96510638297872,299.3255704697986
8,206.78010471204192,255.90000000000003,202.16962524654832,253.9,200.08661417322836,200.0,189.31758530183737,186.4150943396226,228.6,213.0,202.6,181.2,200.7,198.4,174.0,280.0,200.0,160.0,132.15539393939392,146.55665256797582,173.56502392344493,171.93125786163523,148.71259459459458,175.5977653631284
9,149.09,205.81151832460736,174.0,176.54923809523797,131.6428709677419,131.7294492753623,140.02424242424243,141.0576530612245,176.5854545454547,174.0,181.2,174.0,149.0,148.0,144.0218537859008,196.2,149.0,130.1,121.15569620253164,140.9296699875467,159.66684995340168,153.45676481691203,130.62372505543237,149.78864285714286
10,141.39339407744873,138.5639376590331,137.80654340836014,135.23601030927836,115.43270833333332,115.43808411214957,127.93443968156765,128.53551776266062,127.27021656050957,162.0,174.0,149.0,130.1,130.1,130.1,146.00740053050396,130.10000000000002,120.7,105.6355828220859,127.94964285714286,135.85123339658446,131.13989667896678,112.83676470588237,131.45244167118827
11,123.59496153846155,123.5518015665796,122.76146868250542,118.61241573033708,92.54011290322578,100.96000000000001,112.64507462686566,120.34692737430169,110.65568862275448,130.1,152.0,130.10000000000002,120.70000000000002,120.7,120.7,130.1,120.7,100.0,99.97523452157598,120.19417890520694,120.10866141732284,100.80946324387399,93.79242424242425,109.95955527318932
12,94.26168264621285,111.02961445783136,108.3626696832579,104.59021113243759,80.27483808290155,86.32667876588023,98.14100719424465,102.22434640522877,96.2523178807947,120.70000000000002,124.8125,120.70000000000002,97.03,95.85999999999999,87.39999999999999,120.69999999999999,87.0,92.69333333333333,79.11754816112084,96.58554641598118,104.61266018306637,84.22608208955225,79.6573076923077,75.48915492957747
13,56.684735999999994,88.19016160626836,85.85982846546129,84.33429221435793,66.10961538461538,79.60652364700147,75.43397368421053,76.79759114583335,78.04705882352941,93.6,113.13454545454547,104.03,73.0,67.0,65.45454545454547,63.819943502824856,69.94,77.99,62.76541666666667,72.33795789473683,85.80029301277236,70.36409395973155,65.66771559633028,59.54702160493826
14,46.23799295774647,54.26947272727272,52.22262280701755,51.34221296296296,49.75954545454546,48.53157029823493,59.27,64.504,48.63866352201261,88.71401050788091,91.0,79.33249999999998,51.70000000000002,29.99000000000001,22.98999999999998,46.97,64.8705882352941,33.57857142857141,48.74402195608782,59.10125185185185,75.59429678848284,60.44626168224298,54.46308366533864,49.872756249999995
15,35.284973821989524,43.87485915492958,42.19805385556916,40.48404789053593,38.77052447552449,36.910011695906434,45.59840909090908,51.65,30.037577319587612,78.63561643835617,80.69999999999999,62.329999999999984,16.98999999999998,22.99000000000001,13.265612244897966,21.049999999999955,54.94,20.866367816091937,36.407900466562985,47.39376794258373,64.71023067065357,49.40464571428572,45.77895051194539,38.6794526795895
16,27.171660424469408,33.44160189573459,30.60832106038292,27.80592039800996,27.094713592233006,25.34683122847302,33.08511041009463,37.17681942544459,25.047791619479042,21.644000000000005,66.29999999999998,56.0,9.253315018314993,11.767387218045116,9.276490066225136,9.257396257119638,32.150000000000034,16.099999999999994,25.811618357487923,32.50768535262209,50.28993203058625,39.74329289428074,32.755276595744675,30.83959999999999
